,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,4,5,0,5,6,7,0,0,0,0,0,0,0,0,0,0,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,3,4,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,2,3,0,3,4,5,0,0,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,1,2,0,2,3,4,5,0,0,0,0,4,0,0,0,6,7,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3,2,1,2,1,2,3,0,0,0,0,0,3,4,0,0,0,6,7,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,4,3,2,1,2,1,2,3,0,0,4,0,0,3,4,0,0,0,6,7,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5,4,3,2,3,2,1,2,0,0,0,4,0,0,3,4,5,0,0,6,7,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,5,4,5,4,3,2,1,2,0,0,0,4,0,2,3,4,5,0,0,6,7,8,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5,6,5,6,5,4,3,2,1,2,3,2,3,4,1,2,3,4,5,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,4,3,4,3,2,1,2,3,2,3,2,1,2,1,2,0,0,0,0,0,0,0,2,1,2,3,2,3,2,1,2,1,2,3,2,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4,5,6,7,6,5,4,3,2,1,2,3,2,3,4,0,2,3,4,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3,4,5,6,7,6,5,4,3,2,1,2,3,2,3,4,0,2,3,0,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,3,4,5,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,3,0,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,2,3,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,3,0,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,3,0,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,0,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,0,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,0,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,0,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
89,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
90,5,4,3,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0
91,6,5,4,3,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0
92,7,6,5,4,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0
93,8,7,6,7,6,5,4,3,2,0,0,0,0,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0
94,9,8,7,8,7,6,5,4,0,0,0,0,0,0,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0
95,6,9,8,9,8,7,6,5,4,0,0,0,0,0,0,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0
96,5,6,9,8,7,8,7,6,5,0,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0
97,4,5,6,7,6,7,8,7,6,5,0,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0
98,0,4,5,6,5,6,7,8,7,6,5,0,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0
99,0,0,4,5,4,5,6,7,8,7,6,5,0,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0
100,0,0,3,4,3,4,5,6,7,8,7,6,5,0,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,2,3,2,1,2,1,2,0,4,5,6,7,8,7,6,5,4,3,2,1,2,3,4,5,0,5,4,3,2,1,2,3,0,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2
